run_name,seed,split_seed,N_scale,epochs,test_loss,test_acc,best_val_acc
cifar10_resnet18_N1.0_seed6,6,1337,1.0,300,0.533257,91.3700,92.4800
cifar10_resnet18_N1.0_seed6,6,1337,1.0,300,0.530885,91.4000,92.5000
cifar10_resnet18_N1.0_seed6,6,1337,1.0,300,0.723799,91.4100,92.2400
cifar10_resnet18_N1.0_seed6,6,1337,1.0,300,0.304892,91.3400,92.2800
cifar10_resnet18_N1.0_seed6,6,1337,1.0,300,0.337284,90.7700,91.7600
cifar10_resnet18_N1.0_seed6,6,1337,1.0,300,0.302990,91.5300,92.2400
cifar10_resnet18_N1.0_seed7,7,1337,1.0,300,0.298574,91.4900,92.2200
cifar10_resnet18_N1.0_seed8,8,1337,1.0,300,0.527060,91.6600,92.2800
cifar10_resnet18_N1.0_seed9,9,1337,1.0,300,0.718770,91.3800,92.4200
cifar10_resnet18_N1.0_seed10,10,1337,1.0,300,0.732084,91.0700,92.5600
cifar10_resnet18_N1.0_seed11,11,1337,1.0,300,0.532367,91.2900,92.4200
