run_name,seed,split_seed,N_scale,epochs,test_loss,test_acc,best_val_acc
cifar10_resnet20_N1p0_seed6,6,1337,1.0,300,0.588084,88.3000,88.6800
cifar10_resnet20_N1p0_seed7,7,1337,1.0,300,0.593724,88.2700,89.3600
cifar10_resnet20_N1p0_seed8,8,1337,1.0,300,0.605546,87.7400,88.3200
cifar10_resnet20_N1p0_seed9,9,1337,1.0,300,0.603300,87.8300,88.5800
cifar10_resnet20_N1p0_seed10,10,1337,1.0,300,0.596012,87.7700,89.0600
cifar10_resnet20_N1p0_seed11,11,1337,1.0,300,0.599658,87.9600,89.3200
cifar10_resnet20_N1p0_seed12,12,1337,1.0,300,0.584688,88.4600,89.6000
cifar10_resnet20_N1p0_seed13,13,1337,1.0,300,0.591052,88.0000,89.0400
cifar10_resnet20_N1p0_seed14,14,1337,1.0,300,0.597243,88.2400,88.4800
cifar10_resnet20_N1p0_seed15,15,1337,1.0,300,0.595622,88.0500,89.1600
