run_name,seed,split_seed,N_scale,epochs,test_loss,test_acc,best_val_acc
cifar10_resnet20_N2p0_seed6,6,1337,2.0,300,0.568384,89.2100,90.5600
cifar10_resnet20_N2p0_seed7,7,1337,2.0,300,0.583623,88.2900,90.4400
cifar10_resnet20_N2p0_seed8,8,1337,2.0,300,0.565901,89.2500,90.0800
cifar10_resnet20_N2p0_seed9,9,1337,2.0,300,0.573840,88.9200,89.8600
cifar10_resnet20_N2p0_seed10,10,1337,2.0,300,0.573080,89.2800,90.4400
cifar10_resnet20_N2p0_seed11,11,1337,2.0,300,0.570729,89.1800,90.1200
cifar10_resnet20_N2p0_seed12,12,1337,2.0,300,0.569486,89.3100,89.8600
cifar10_resnet20_N2p0_seed13,13,1337,2.0,300,0.565740,89.2400,90.2400
cifar10_resnet20_N2p0_seed14,14,1337,2.0,300,0.570438,89.0500,90.2200
cifar10_resnet20_N2p0_seed15,15,1337,2.0,300,0.558258,89.6700,90.1400
